Country Name,RATE,REFG,MIL.XPAND,GDP,URBAN,STA,TECH,NET.USER,ADO,PM2.5,AGEDEP
Israel,,802,5.376152507,35728.0935,92.14,100,19.66319322,78.8851791,9.3078,20.7,64.12940849
Italy,99.01579285,70,1.308669912,29957.80432,68.964,99.6,7.342364071,65.5716,5.9352,19.5,56.54415147
Jamaica,88.49990082,1868,0.829288526,5232.024583,54.788,84.1,0.085597606,43.17589719,58.7846,16.6,48.62651083
Jordan,98.01435089,1841,4.307483715,4940.045836,83.679,98.9,1.817742985,53.4,22.6438,38,64.77538658
Japan,,145,0.932658518,34523.70077,93.498,100,16.78206158,93.32941106,3.9706,13.1,64.46694702
Kazakhstan,99.78784943,2267,1.031451477,10509.98107,53.247,98.1,41.19050836,72.86601297,27.191,17,50.27004132
Kenya,78.02339935,7906,1.50522085,1376.712829,25.622,29.7,,45.62280061,90.219,15.6,80.86946228
Kyrgyz Republic,99.50131989,2502,3.583741211,1103.215352,35.707,95.6,11.86204101,30.24704278,39.1966,16.1,55.34822176
Cambodia,78.34593964,12803,,1158.689904,20.723,30.5,0.759983541,19,52.1718,23.9,55.56991959
Kiribati,,2,,1424.280879,44.304,30.6,,12.99748389,16.3802,3.4,63.00039147
St. Kitts and Nevis,,28,,15771.9455,32.047,,,75.7,,,
"Korea, Rep.",,351,2.64370106,27221.52405,82.474,100,26.83989308,89.8962558,1.5886,28.1,37.211136
Kuwait,96.1177063,1085,,29300.57558,98.342,100,2.717092493,82.07911476,9.4458,65.7,32.09031154
Latin America & Caribbean (excluding high income),,446461,1.241881336,8019.332806,79.62213541,63.18795521,11.9932526,53.88393399,64.32388629,17.20654077,50.35450714
Lao PDR,79.86746216,7363,,1818.441373,38.614,56,,18.2,63.734,27.9,62.81394297
Lebanon,94.05110168,4369,4.756143596,8047.645086,87.792,80.7,,74,12.1846,31.8,47.33769414
Liberia,47.60013962,9994,0.658524111,455.8739345,49.701,5.9,,5.903867603,107.1206,7.4,82.87271056
Libya,91.38887024,6085,,,78.554,95.7,,19.01607978,6.1582,69.4,52.37754765
St. Lucia,,1011,,7735.910484,18.504,91.9,,52.35,53.4248,13.1,47.32504061
Latin America & Caribbean,,447994,1.281246438,8363.562755,79.88103874,64.06300772,11.52920274,54.4583843,63.68217275,17.25336667,50.21707825
Least developed countries: UN classification,,7784646,1.518232252,978.8457956,31.53719931,32.89729639,,12.62860122,90.12894161,44.50063647,79.09975268
Low income,,6604723,1.446885069,617.7078283,30.74000111,23.24212725,3.371456198,9.460342053,96.31981016,33.98581167,86.86262118
Liechtenstein,,0,,,14.289,,,96.6411951,,,
Sri Lanka,92.61416626,121435,2.209560395,3926.174396,18.356,96.7,0.836279814,29.98873755,14.153,26.4,51.23349504
Lower middle income,,6844053,1.837063756,2002.12437,38.95761166,42.17719088,,28.63206153,45.33224625,55.59125413,57.49067599
Low & middle income,,14772545,2.019321302,4344.802747,48.70560575,46.89422947,19.17632691,36.79864752,48.01481325,47.15054793,54.27006645
Lesotho,79.3609314,17,1.892981759,1066.985626,27.312,27.6,,16.0717077,93.1736,18.6,67.26589284
Late-demographic dividend,,1183638,2.164522679,8150.830351,59.87630308,67.68097208,21.35629648,54.05925577,22.32750035,42.65970596,39.49409376
Lithuania,99.82328033,144,1.144822889,14147.04938,66.508,82.8,11.85277393,71.378,10.3996,18.6,50.06602969
Luxembourg,,2,0.524627978,101449.9682,90.16,98.5,6.823001118,97.3341,5.7284,16.2,43.70940115
Latvia,99.89269257,193,1.058794123,13648.54756,67.382,81.5,15.05027123,79.2006,13.287,19.8,52.1836352
"Macao SAR, China",96.2276001,5,,78585.87706,100,,0,77.60013186,3.3118,,28.20867516
St. Martin (French part),,,,,,,,,,,
Morocco,71.7105484,1771,3.249089056,2878.201342,60.195,65.5,3.536814373,57.08,31.3652,22.4,50.12828426
Monaco,,3,,,100,,,93.36330202,,,
Moldova,99.2443924,2289,0.355080395,1848.061804,44.995,67.1,3.988927282,49.83693954,22.028,16.7,34.57382903
Madagascar,64.65630341,286,0.631284531,401.836006,35.105,8.7,0.186266128,4.17397219,114.82,18.7,80.33338854
Maldives,99.32102203,42,,8395.785198,45.536,98.3,,54.46195515,6.214,28.5,47.44842249
Middle East & North Africa,,4795996,7.747130854,7407.070625,64.21828015,86.83847712,,43.70753337,38.35338012,56.84612818,55.13412072
Mexico,94.54559326,11333,0.676652501,9005.024265,79.246,74.5,14.68693681,57.43104299,62.2038,19.7,51.6816002
Marshall Islands,98.26507568,3,,3385.967463,72.684,56.2,,19.2824418,,9.1,
Middle income,,8167822,2.027288432,4775.63473,50.78323787,50.75330537,19.32826001,39.79636329,40.37070855,48.67299229,50.50198278
"Macedonia, FYR",97.84375763,1776,1.06509293,4852.657848,57.104,82.6,2.987312334,70.3802,17.2636,39.4,41.39453471
Mali,33.06887054,154211,2.425500022,724.2562832,39.916,16.1,,10.33692498,173.7412,37.2,100.1835351
Malta,94.06661224,1,0.573096354,22596.18177,95.407,100,31.9031159,76.184,16.3804,15.4,50.78462835
Myanmar,93.09004974,451807,3.502313454,1161.488158,34.098,77.1,,21.8,16.2474,53,49.05411871
Middle East & North Africa (excluding high income),,4792904,4.122853568,,60.51025249,86.03551901,,38.20625385,42.09536745,53.33728948,57.54638062
Montenegro,98.71994781,651,1.627273663,6406.070855,64.026,92.2,,64.56499314,12.031,22.7,47.71037386
Mongolia,98.36763763,2199,0.87091903,3967.829386,72.04,42.6,4.031121244,21.43603111,15.0022,22.9,47.64877847
Northern Mariana Islands,,,,,89.237,79.7,,,,11.3,
Mozambique,58.83655167,57,0.992915987,529.2425561,32.214,10.1,11.61205432,9,136.9276,17,94.7503396
Mauritania,52.12356186,34664,,,59.859,13.8,,15.19912669,77.9034,68.5,76.13809182
Mauritius,90.61604309,103,,9252.110724,39.671,92.6,0.05962622,50.13931848,28.3166,14.4,40.61770867
Malawi,65.96382904,426,0.657702321,371.9857478,16.272,39.8,2.156848969,9.298148347,135.349,21.4,94.54637854
Malaysia,94.63699341,438,1.535085824,9768.32686,74.705,95.9,42.80094544,71.06406781,13.7166,15.1,44.736656
North America,,5036,3.119664872,54830.98801,81.64152578,99.90068835,18.0887547,75.93725156,20.07361606,8.169606529,50.54918171
Namibia,90.82050323,1476,4.824409066,4673.567248,46.66,16.8,,22.30701479,76.2126,18.6,67.266778
New Caledonia,96.93782043,,,,70.21,100,5.028256097,74.00175279,19.1292,,47.92017729
Niger,19.1026001,1390,,358.958152,18.732,4.6,14.24266564,2.22016535,201.163,53,112.9728005
Nigeria,59.5680809,167988,0.417636538,2640.290739,47.776,25.4,,47.44255029,109.304,36.9,87.70842622
Nicaragua,82.47184753,1476,0.564280765,2086.895003,58.779,55.7,0.488474132,19.7042915,88.0554,23,54.12985765
Netherlands,,69,1.182503093,44299.76809,90.496,99.9,,93.0965,3.8842,14.3,53.26548811
Norway,,12,1.525293406,74400.36978,80.473,98.3,20.51991733,96.8103,5.8552,8.9,52.21039452
Nepal,64.66364288,8866,1.508981408,743.3229657,18.615,43.5,0.622566089,17.58161801,71.2882,70.9,61.84173909
Nauru,,0,,9827.544281,100,,,,,,
New Zealand,,19,1.186190344,37807.96728,86.284,,9.617084082,88.22288882,23.2522,5.4,54.00824581
OECD members,,86783,2.188835165,36091.18441,80.25380373,95.44039384,17.17717546,77.24348746,21.73189199,14.87092343,52.59737126
Oman,93.97164917,37,14.15270019,15550.67625,77.641,94.7,4.125765627,74.17416597,7.5474,46.7,30.04213842
Other small states,,32855,,12844.73248,58.10468183,45.70527036,7.410442835,40.39556383,61.17152142,30.67738188,59.93751828
Pakistan,56.44031143,297835,3.554558497,1434.696665,38.758,51.1,1.557343978,18,38.322,63,65.29531816
